 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Krameriaceae	0.0	0.0	0.0	0.0	0.0	0.008888888888888889	0.0	0.0	0.0	0.0	0.022099447513812154	0.0	0.0	0.0	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.045454545454545456	0.0
Neckeraceae	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.030303030303030304	0.0
Halimedaceae	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011235955056179775	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Staphyleaceae	0.0	0.030303030303030304	0.037037037037037035	0.017857142857142856	0.022727272727272728	0.0044444444444444444	0.0	0.004807692307692308	0.010752688172043012	0.01818181818181818	0.011049723756906077	0.0	0.011235955056179775	0.004672897196261682	0.008547008547008548	0.0125	0.0	0.0	0.06666666666666667	0.0	0.0	0.015151515151515152	0.0
Calceolariaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0055248618784530384	0.0	0.011235955056179775	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
Gelsemiaceae	0.0	0.015151515151515152	0.012345679012345678	0.0	0.0	0.0	0.0	0.004807692307692308	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009615384615384616	0.0	0.0	0.0	0.007874015748031496	0.015151515151515152	0.0
Frullaniaceae	0.0	0.015151515151515152	0.012345679012345678	0.0	0.0	0.0044444444444444444	0.0	0.0	0.0	0.01818181818181818	0.011049723756906077	0.04878048780487805	0.02247191011235955	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Onocleaceae	0.0	0.0	0.0	0.0	0.11363636363636363	0.0044444444444444444	0.0	0.0	0.06451612903225806	0.045454545454545456	0.0	0.024390243902439025	0.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.2
Tamaricaceae	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.004807692307692308	0.0	0.0	0.0055248618784530384	0.04878048780487805	0.011235955056179775	0.009345794392523364	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04
Bartramiaceae	0.0	0.0	0.0	0.0	0.0	0.013333333333333334	0.0	0.0	0.0	0.02727272727272727	0.016574585635359115	0.0	0.0	0.014018691588785047	0.0	0.0125	0.0	0.0	0.0	0.0	0.0	0.0	0.04
Pentaphylacaceae	0.0	0.0	0.0	0.0	0.0	0.017777777777777778	0.0	0.004807692307692308	0.010752688172043012	0.0	0.022099447513812154	0.04878048780487805	0.02247191011235955	0.018691588785046728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Monostromataceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Aongstroemiaceae	0.0	0.0	0.0	0.0	0.0	0.0044444444444444444	0.0	0.004807692307692308	0.0	0.0	0.0	0.0	0.0	0.004672897196261682	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Selenastraceae	0.0	0.0	0.012345679012345678	0.0	0.0	0.0	0.0	0.004807692307692308	0.0	0.0	0.0	0.0	0.0	0.009345794392523364	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Haemodoraceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024390243902439025	0.0	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Stilbaceae	0.0	0.0	0.0	0.0	0.0	0.0044444444444444444	0.0	0.004807692307692308	0.0	0.0	0.0055248618784530384	0.0	0.011235955056179775	0.004672897196261682	0.008547008547008548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Mazaceae	0.0	0.0	0.0	0.0	0.0	0.0044444444444444444	0.25	0.0	0.0	0.0	0.0055248618784530384	0.0	0.011235955056179775	0.0	0.0	0.0	0.002403846153846154	0.0	0.0	0.0	0.0	0.0	0.0
Ehretiaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004672897196261682	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
