 	auditory system disorder	breast disorder	cancer or benign tumor	cardiovascular disorder	connective tissue disorder	digestive system disorder	disorder of visual system	endocrine system disorder	hematologic disorder	immune system disorder	inflammatory disease	injury	integumentary system disorder	infectious disease or post-infectious disorder	metabolic disease	musculoskeletal system disorder	nervous system disorder	nutritional disorder	otorhinolaryngologic disease	poisoning	psychiatric disorder	respiratory system disorder	urinary system disorder
Hyacinthaceae	0.0	0.009302325581395349	0.005385996409335727	0.0033112582781456954	0.0	0.0016273393002441008	0.0	0.000992063492063492	0.0031446540880503146	0.0017605633802816902	0.003667481662591687	0.0	0.010178117048346057	0.0036363636363636364	0.0014771048744460858	0.002008032128514056	0.0	0.0	0.0	0.25	0.0	0.006349206349206349	0.0
Dipterocarpaceae	0.0	0.009302325581395349	0.00718132854578097	0.006622516556291391	0.006711409395973154	0.004882017900732303	0.0	0.003968253968253968	0.006289308176100629	0.0035211267605633804	0.006112469437652812	0.006172839506172839	0.005089058524173028	0.0048484848484848485	0.005908419497784343	0.004016064257028112	0.0012165450121654502	0.0	0.0	0.0	0.0	0.009523809523809525	0.0
Leeaceae	0.0	0.0	0.0017953321364452424	0.0033112582781456954	0.0	0.0008136696501220504	0.0	0.000992063492063492	0.0	0.0	0.0	0.0	0.0	0.0024242424242424242	0.0014771048744460858	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0048543689320388345
Orobanchaceae	0.0	0.013953488372093023	0.017953321364452424	0.039735099337748346	0.06040268456375839	0.03417412530512612	0.0	0.03869047619047619	0.015723270440251572	0.028169014084507043	0.022004889975550123	0.030864197530864196	0.020356234096692113	0.014545454545454545	0.060561299852289516	0.04618473895582329	0.031630170316301706	0.102803738317757	0.02631578947368421	0.0	0.022222222222222223	0.01904761904761905	0.05825242718446602
Heliotropiaceae	0.0	0.0	0.003590664272890485	0.0033112582781456954	0.003355704697986577	0.0024410089503661514	0.0	0.002976190476190476	0.0	0.00528169014084507	0.007334963325183374	0.012345679012345678	0.002544529262086514	0.0012121212121212121	0.004431314623338257	0.002008032128514056	0.0012165450121654502	0.009345794392523364	0.013157894736842105	0.0	0.0	0.006349206349206349	0.0048543689320388345
Zygophyllaceae	0.0	0.03255813953488372	0.019748653500897665	0.052980132450331126	0.026845637583892617	0.026037428803905614	0.0	0.034722222222222224	0.015723270440251572	0.01584507042253521	0.011002444987775062	0.006172839506172839	0.022900763358778626	0.009696969696969697	0.04283604135893648	0.02208835341365462	0.024330900243309004	0.018691588785046728	0.013157894736842105	0.0	0.022222222222222223	0.012698412698412698	0.07281553398058252
Chenopodiaceae	0.0	0.04186046511627907	0.04129263913824058	0.039735099337748346	0.040268456375838924	0.025223759153783564	0.2	0.030753968253968252	0.11949685534591195	0.04929577464788732	0.039119804400977995	0.037037037037037035	0.043256997455470736	0.05333333333333334	0.025110782865583457	0.024096385542168676	0.01338199513381995	0.06542056074766354	0.18421052631578946	0.0	0.001851851851851852	0.07301587301587302	0.019417475728155338
Nartheciaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012224938875305623	0.0	0.015267175572519083	0.0	0.005908419497784343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05339805825242718
Altingiaceae	0.0	0.0	0.0	0.013245033112582781	0.0	0.0016273393002441008	0.0	0.000992063492063492	0.0031446540880503146	0.0	0.0024449877750611247	0.0	0.005089058524173028	0.0024242424242424242	0.0014771048744460858	0.0	0.0024330900243309003	0.0	0.0	0.0	0.003703703703703704	0.0031746031746031746	0.0
Cynomoriaceae	0.0	0.0	0.003590664272890485	0.0	0.006711409395973154	0.0024410089503661514	0.0	0.000992063492063492	0.0	0.0	0.0012224938875305623	0.0	0.0	0.0012121212121212121	0.0	0.004016064257028112	0.0024330900243309003	0.0	0.0	0.0	0.001851851851851852	0.0031746031746031746	0.0048543689320388345
